Type of Session;Session code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Convening organization and session coordinators;Duration of the session
Special Session;SS36;"Depollution of Water Bodies in Urban Environments, Circular economy and adaptability in water and sanitation services.
";Wednesday 23rd of March from 9.00 to 10.30;Wednesday 23rd of March from 9.00 to 10.30;Room 202;"This session will present ongoing actions on the themes: depollution of water bodies, social technologies, service supply regularization, and adaptability in order to share innovative practices that contribute to the advancement of the sector, above all, to ensure the access to water and sanitation to low-income communities. 
Additionaly,  will present actions and projects carried out or in progress on the themes: adaptation to climate change, water resilience, circular economy, nature-based solutions in order to share innovative practices that contribute to the advancement of the sector. 
It seeks to contribute with ideas for facing future challenges in Africa and other parts of the world, which face similar difficulties.
In other words, such projects can be seen more broadly and integrated into the concept of circular economy and the benefits arising therefrom.
Projects and programs addressed: Sustainable Wastewater Treatment Plants (WTP) and Compact Wastewater Treatment Plants, Reduction of greenhouse gases, Distributed energy generation, photovoltaic plants.";20 minutes to opening and first speaker, three blocks of 15 minutes for each speaker and 15 minutres for audience interaction.;"Sanitation Projects | Adaptability | Collaborative and Inclusive Governance | Sustainability | Resource Recovery 
";Sabesp;90'
Special Session;SS37; Join the international and collective One Sustainable Health (OSH) initiative ;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Room 11;OSH Forum is an international and collective initiative that aims to produce tangible evidence based recommendations towards the operational implementation of an integrated One Sustainable Health approach. These recommendations will be made by the 6 International Working Groups and synthesized in a One Sustainable Health Declaration to be published during the World Health Summit 2022 October in Berlin. This declaration will provide guideline s for operational programmes and public policies for states, international agencies, companies, NGOs and foundations.;3 times sessions of 10 minutes and 15 min of Q&A / Take Home messages ;One Sustainable Health | Guidelines | Governance | public policies | states | international agencies | companies | NGOs | foundations;One Environmental Health - Intelligence & Governance;90'
Special Session;SS38;"Cost-Benefit Opportunities to enforce Environmental Health country Capacity building by African decision makers (institutionals - territories - NGOs) 
Call for intersectorial all to implementation environmental determinants of health in all public policies 
";Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 11;"
The impact of the environment on the health of individuals and communities is profound. Nowhere is this reality felt as strongly as on the African continent, where a large proportion of diseases are determined by environmental factors, and where the living conditions of communities (habitat, food, transport) make them extremely vulnerable to changes in the environment and climate.

Through the Libreville Agreements adopted in 2008, 47 African governments pledged to act in an integrated way on the environmental and societal determinants of human health and ecosystem integrity, adopting an environmental policy framework. & Health for Africa under the auspices of WHO and UNEP. Ten years after the signing of these historic agreements, progress has been made, but joint prevention actions remain largely insufficient in view of countries' needs. According to WHO, up to 40% of premature deaths in sub-Saharan Africa are due to environmental pollution (air, water, soil), making it one of the most affected regions in the world.

Beyond the international injunctions, the implementation of these joint programs requires capacities of action (infrastructures, skills) which are today insufficient or absent in most African countries. In this context, the recent publication of the Lancet-WHO Commission urges the governments of these countries to build their capacity for environmental health in planning processes in order to be able to (i) address the associated challenges and strategies, (ii) seek support from development agencies to (iii) design and implement large-scale joint programs and interventions.
";3 x 10' + 10' Q&A + 5' Take Home messages;Environmental Health | Cost-Benefit | Country Capacity building | African decision makers ;One Environmental Health - Intelligence & Governance;90'
Special Session;SS39;One Water One Health / Cost-Benefit Opportunity to merge the One Health approach to the water cycle by integrating human & ecosystem risks to water chemical mixtures & exposures;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 11;"Water professionals increasingly need to address pollution by chemicals of emerging concern’s (CECs), including low dose and mixtures effects on early indicators of toxic pathway, which cannot be evaluated by traditional substance-based analytical methods. 
Effect-based monitoring (EBM) tools (also known as bioassays) demonstrated in international large scale projects, can now provide a better detection and biosensoring of early toxic mode of action triggered by mixtures of EDCs or DBPs, even at low doses exposures. EBM in water safety planning (WSP) can now be applied to different parts of the water sector: from source to tap, but also for example in wastewater treatment plants, and in water reuse schemes. 

There are strong incentives from governments and institutions such as WHO and the EU to review Water Quality Management Frameworks in various policy areas, and to embed WHO Water Safety Plans

By promoting the interaction of operators and policy-makers from all over the world, the 2018-2022 proof of concept (POC) project aims to increase knowledge and stimulate the exchange and implementation these innovative, more protective, predictive and cost efficient monitoring/diagnosis strategies to better drive water treatment processes and abbatment options to better protect human and ecosystem health regard water chemical mixtures.

This POC project aims to demonstrate an innovative water quality and safety assessment framework in a practical setting, and to support water experts in the implementation of EBM in integrative and cost-effective monitoring programmes to detect emerging water quality issues. User guidance will be provided to operators and/or local authorities on the selection of bioassays, the interpretation of bioassay data, the establishment of decision-making support for the operating practices on the upgrading/improvement of the supply chain. 

Furthermore, a selection of demonstrative case studies in more than 15 countries including more than 40 conventional and alternative water treatment schemes/plants will demonstrate the implementation of a combination of of EBM in Water Safety Plans to assess the effectiveness of treatment stages. Ultimately, this leads towards a more efficient implementation of EBM in the Water Safety Plans across the global water sector.
";3 x 10' + 10' Q&A + 5' Take Home messages;"One Water One Health | Science & Policy | Endocrine disruption | chemical mixtures | safety assessment framework | Biosensoring 

";One Environmental Health - Intelligence & Governance ;90'
Special Session;SS40;"Non-sewered sanitation, a key issue for African local authorities 

L'assainissement non-collectif, un enjeu clé pour les collectivités locales africaines.";Thursday 24th of March from 10.45 to 12.15;Thursday 24th of March from 10.45 to 12.15;Room 12;"Non-sewered sanitation is largely predominant in sub-Saharan Africa. In 2020, this sanitation method, often managed informally, represented 72% of the access in rural areas and 78.6% in urban areas. Therefore, formalizing non-sewered sanitation should be considered as a key issue for local authorities, which are usually responsible for this service.

The main objective of this session is to contribute to the achievement of targets 6.2 and 6.3 of SDG 6 on sanitation and wastewater treatment. Specifically, this session aims at presenting on-site sanitation as a sustainable and complementary alternative to the collective centralized system and supporting local governements in its structuring.

This session is based on diferent material :
- case studies realized in Cameroon, Cape Verde and Ghana.
- feedbacks from local elected officials, particularly in the context of decentralized cooperation projects. A project labeled “Initiative Dakar 2022” in Togo will be presented on this occasion.
- a questionnaire developed in coordination with UCLG-Africa, submitted to National Associations of Local Authorities.

This meeting will set the guidelines for a concrete roadmap presenting good practices on non-sewered sanitation, concerning local authorities. 

This initiative coordinated by Yvelines, International Cooperation and Development (YCID) benefits from the support of the French Water Partnership (FWP) and the Gates Foundation.

This coalition in favor of non-sewered sanitation follows on from the discussions already initiated during the World Water Forum in Brasilia and during the Africities Summit (Marrakech, 2018).";"1.	Introduction and presentation of the global initiative on non-sewered sanitation: Jean-Marie Tétart, 10 min
2.	Overview of the situation of non-sewered sanitation in Africa: Mbaye Mbeguere, 10 minutes
3.	Summary of the case studies recommandations and discussion on the management methods:
-	Cameroon : Roger Feumba 10 min
-	Cape Verde : Herménio Fernandes, 10 min
4.	First round of discussion (questions and answers with the audience): 10 min
5.	Example of a decentralized cooperation project on non-sewered sanitation (labeled): experience of “la Commune des Lacs 1” : Alexis Acquereburu, 10 min
6.	Role of local authorities and first results of the questionnaire: Mohamed Nbou, 10 min
7.	Debate with the floor to draw the main recommendations and points of attention on non-sewered sanitation (Possibility of carrying it out, in the form of a SWOT matrix, in co-construction with the audience): 15 min
8.	Closing - (Gates Foundation or Jean-Marie Tétart) 5 min

(Interventions may be limited to 7 minutes per speaker to leave room for questions).

";"Local authorities | non-sewered sanitation | informality | capacity building | decentralized cooperation 


";Yvelines, Coopération internationale et développement (YCID);90'
Special Session;SS41;Role of Private Operators on the implementation of SDG goal 6;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Auditorium;"The primary focus of the session will be to present AfWA with focus on its contribution to empower African private and public WASH operators for better achieving the SDG 6. This session would allow AfWA to showcase of its strategy to scale up programs for high impact in accelerating access to water and sanitation services in Africa.

The session will be structured in three parts:
1.	Introductory remarks on of AfWA and the various presenters by Mr Sylvain Usher, the Executive Director of AfWA o who will moderate the session (15 minutes)
2.	Presentation of AfWA strategy in support to water and sanitation operators: Dr. Eng. Simeon Kenfack, AfWA Program Director
3.	A panel group of discussion with four panelists for (60 min)";"1.	Introductory remarks on the theme of the session and the various speakers/panelists by The moderator (10 minutes)
2.	Presentation of AfWA and its strategy in support inclusion of private operators and various group of actors into water and sanitation sector in AfWA: Dr. Eng. Simeon Kenfack, AfWA Program Director (15 min)
3.	A panel group discussion for (65 min)
";Private | utility | SDG 6 | Public | partnership;African Water Association;90'
Special Session;SS42;City-Wide Inclusive Sanitation as an approach to Scale Sustainable Solutions at the City-Level: From RASOP Africa to SAO-CWIS for sanitation stakeholders capacity building;Wednesday 23rd of March from 10.45 to 12.15;Wednesday 23rd of March from 10.45 to 12.15;Room 13;"Citywide Inclusive Sanitation (CWIS) is a public service approach to planning and implementing urban sanitation systems to achieve outcomes summarized by Sustainable Development Goal 6: safe, equitable, and sustainable sanitation for everyone in an urban area, paying special attention to the needs of the poor, the marginalized, and women and girls. To advance and sustain SDG outcomes at a meaningful scale, all CWIS systems must demonstrate three core functions:
•	A responsible authority(ies) is executing a public mandate for inclusive urban service delivery.
•	The authority(ies) is accountable for performance against its mandate.
•	Resource management and planning reflect authority mandates, priorities, and performance accountability.
Objectives assigned to this session organized by AfWA, are:
i.	Discuss the local and global urban sanitation issues 
ii.	Identify key challenges that contribute to poor sanitation in cities
iii.	Describe approaches: WOP, CWIS approach and Service Framework, principles and key stages for CWIS action
iv.	Agree on the role of the private sector and regulators on CWIS implementation
v.	Explain AfWA contribution in building the capacity of African Utilities and municipalities to improve sanitation service delivery.
";"a.	Introduction from chair (5 mins)
b.	Lead presentation from AfWA (10 mins)
c.	Presentation on the role of private sector on Sanitation services delivery (10 mins)
d.	Presentation on CWIS and regulation by ESAWAS (10 mins)
e.	Feedback and questions from the audience will be fielded. (20 mins)
f.	Moderated Panel- Hard Talk format. (20 mins)
g.	Feedback and questions from the audience will be fielded. (10 mins)
h.	Moderator Summary (5 mins)";City-Wide | Sanitation | Capacity buiding | Africa;African Water Association (AfWA);90'
Special Session;SS43;Made in Germany - What’s behind the quality promise? Innovative German water and sanitation technologies and qualification approaches to ensure sustainability of investments;Wednesday 23rd of March from 13.30 to 15.00;Wednesday 23rd of March from 13.30 to 15.00;Room 202;"The private sector is a major player in driving innovation and developing demand-driven knowledge-based solutions in the water and sanitation sector. German companies within the water and sanitation sector have recognized that the key factors which ensure their long-term viability and sustainability of investments are employees with exactly the right qualifications as well as sector-specific knowledge and skills. For this reason, the private sector is continuously investing in training young people. Access to technical education in the water and sanitation sector provides important leverage for improving and securing the quality of water supply and wastewater disposal in a sustainable way. By portraying innovative water and sanitation technologies and linking them to best practices in education and capacity development, the session contributes to the WWF’s major thematic focuses, especially in the action group on “increasing water efficiency and sustainable management through science, technology, innovation and education”.

Expected results
- Providing an overview of the German private sector role in developing demand-driven innovative solutions in the water and sanitation sector and portraying some of the latest innovative technologies
- Showing best practices and current programs in education and vocational training as these are critical success factors for a future-oriented development of sustainable water and sanitation management. This will be done by portraying the activities of different stakeholders such as the private sector, government bodies and educational institutes 
- Strengthening European-African cooperation in the field of vocational education and training in the water and sanitation sector.
";"Welcoming and Introduction

5’	German Mittelstand and its role in vocational training, Andreas Jahn, Member of the BVMW Management Board
5’	Overview about the German water and sanitation sector and qualification approaches,	Julia Braune, Managing Director of German Water Partnership  

German private sector: Innovative technologies and qualification approaches

8’	Best Practice - Solar Water Desalination Systems: Lessons of Zanzibar in the East for the city of Tuba in the West approaches, Dr. Hamed Beheshti, CEO at Boreal Light GmbH
8’	Best Practice – Water leakage technologies and qualification approaches, Michael Kersting, Business Development at Hermann Sewerin GmbH
8’	Best Practice – Wastewater treatment technologies and qualification approaches, Felix-Meyer-Horn, Managing Director North Africa at Aerzener Maschinenfabrik GmbH
8’	Best Practice – Clean drinking water through fluoride removal at Lake Baringo, Kenya, Johannes Muenz, Sales Engineer at Harbauer 
8’ 	What kind of skills are needed to ensure technical sustainability of investments?; Dr. Stephan Kunz, Head of GIZ’s country programme in Senegal within the Special Initiative on Training and Job Creation

Current programs and initiatives in the field of capacity building and vocational training in the water and sanitation sector 

10’	German government programs promoting vocational training in the water and sanitation sector worldwide, Claudia Pragua, Head of Division Water, Sanitation and Hygiene at the German Federal Ministry for Economic Cooperation and Development (BMZ)
10’	Presentation of the new African Water and Sanitation Academy (AWASA) in Uganda, a BMZ-funded partnership project between GWP and the African Water Association, Dr. Rose Kaggwa, Director Business & Scientific Services at NWSC, Director of IREC

Q+A and Closing 

15’	Open discussion / Q+A, Andreas Jahn, Member of the BVMW Management Board and audience
5’ 	Summary and Closing, Julia Braune, Managing Director of German Water Partnership  
  
";Technologies | Germany | Qualification | waste water | SMEs;German Mittelstand BVMW, German Water Partnership;90'
Special Session;SS44;Circular economy in the management of the autonomous sanitation value chain;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 205;;;;ONAS (Senegal);90'
Special Session;SS45;Wetlands: A Vital Artery for a Secure Sahel;Wednesday 23rd of March from 9.00 to 10.30;Wednesday 23rd of March from 9.00 to 10.30;Room 205;"Les zones humides jouent un rôle important dans la sécurité de l’eau, la résilience des communautés, la réduction des risques climatiques et la sécurité humaine. Les gouvernements Africains s’engagent pour leur sauvegarde à travers des plans et politiques nationaux et internationaux comme la Grande Muraille Verte et la Convention des Nations Unies sur la Lutte Contre la Désertification.
Blue Lifelines in a Secure Sahel (l’Artère Vitale pour un Sahel Sécurisé) est une initiative transformative à long terme qui vise restaurer les zones humides afin d’améliorer la sécurité et de renforcer la résilience des communautés rurales. L’initiative est portée par un consortium croissant de partenaires internationaux et Africains.   
La question principale pour la session est : Comment les acteurs-clés visent à renforcer la sauvegarde et la restauration des zones humides afin de profiter plus de tous ses rôles constructifs dans un contexte de plus en plus affecté par le changement climatique? 
Objectifs: 
-	Montrer l’engagement Africain de haut niveau de sauvegarde des zones humides pour la sécurité de l’eau, la résilience, la réduction des risques climatiques et la sécurité humaine; 
-	Explorer les mécanismes nécessaires pour relever les défis relatifs à la sauvegarde et à l’utilisation durable des zones humides africaines ; 
-	Inciter les décideurs à donner aux zones humides un rôle plus important dans les stratégies de haut niveau concernant le changement climatique, l'eau et la sécurité ;
-	Mobiliser les partenaires techniques et financiers autour divers rôles des zones humides (entre autres sauvegarde et restauration).
";"•	Introduction (5mn) 
•	Slam: zones humides, résilience, sécurité (5min)
•	Présentation de BLISS (5 mn), Ms Julie Mulonga de Wetlands International 
•	Actions des ministères dans la GIRE, la sécurité climatique, la paix, en relation avec les zones humides:
o	Exposé du ministère Malien de l’Energie et de l’Eau (10 min)  
o	Exposé du Ministère Kenyan de l’eau (10 min)
o	Enjeu des Zones humides au niveau régional: Coordinateur GGW (10 mn) 
•	Action des acteurs globaux pour soutenir le rôle des zones humides relatif à la paix, climat et sécurité:  Son Excellence Ambassadeur de l’Allemagne au Sénégal (5 min)
•	Directeur Régional, Global Centre for Adaptation (5 mn)
•	Discussion de Haute Niveau (20 min)
•	Questions & réponses (10 min)
•	Remerciement du Modérateur (MC) et clôture (5mn) 
";Water | Wetlands | Sahel |Resilience | Peace ;Wetlands International ;90'
Special Session;SS46;Interfaith religious visions and motivations for water and sanitation action ;Wednesday 23rd of March from 10.45 to 12.15;Wednesday 23rd of March from 10.45 to 12.15;Room 205;"The session cuts across priority 1: Water security and Sanitation (human rights to water and sanitation) and priority 3: Cooperation (strengthen dialogue and partnerships…)

The session intends to fit within the following themes:
human rights access to watsan, access for all, relations between ethics and water & sanitation services and interfaith collaboration/dialogue.

Objectives

•	Show the connections between faith, religious, spiritual values and water, sanitation and hygiene.
•	Call to increased interfaith dialogue in educating and engaging on water security issues.
•	Underscore that religious values and traditions can be a motivation for commitment, solidarity, responsibility and for caring for water
•	Call to action to promote  interfaith dialogue and engagement on water, sanitation and hygiene 


Expected Results

•	Demonstrate the role of religions in support of:
o	 individual/collective practices to ensure equitable access and preserve, use water resources;
o	social cohesion and peace around water resources;
o	good governance, equity and service provision for vulnerable populations.


•	Obtain commitments to address risks of exclusions in policies and practices that promote water and sanitation services, also considering privatization of services
•	Share good practices in translating religious values into practice to support water and sanitation
•	Showcase that some religious and faith-based organizations can be valuable partners for administrations, implementing agencies and the broader civil society
•	Organize an Interfaith action in Dakar (to symbolize dialogue and collaboration), as a follow up to the session or in parallel to engage local populations, not present at the forum, on the session themes
";We do not know - a slot is supposed to be provided by the Executive Secretariat of the 9th WWF;Roles of religions in educating and promoting water security issues and integral ecology | Interfaith dialogue and collaboration to support human rights to water and sanitation | Rituals and spirituality | Local leadership | Obligations that stem from the human rights to safe drinking water and sanitation;CARITAS Senegal;60'
Special Session;SS47;Citywide Inclusive Sanitation for promoting inclusive and sustainable urban sanitation systems: Lessons learnt from IsDB & UN-Habitat;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 202;"The world is not on track to reach the Sustainable Development Goal targets 6.2 on sanitation and 6.3 on wastewater management. Today, 3.6 billion people lack safely managed sanitation and more than 494 million people still practice open defecation, which is posing serious threats to public health, environment, and economic development. 
Providing adequate access to safely managed and inclusive sanitation services to more than 700 million urban dwellers is essential in making cities and human settlements inclusive, safe, resilient, and sustainable as envisaged by SDG 11.  Today, up to 530 cities are reporting the devastating effects of climate change as such 517 million urban residents have been directly impacted by the increased diseases and lost livelihoods, have destroyed infrastructure, and have undermined the capacity of local governments to provide basic services to their citizens. The impacts of climate change on sanitation systems, therefore, call for increased investment in climate-resilient sanitation infrastructures and systems.

CWIS is a public service approach to planning and implementing urban sanitation systems to achieve outcomes summarized by SDG 6.2. CWIS looks to shift the urban sanitation paradigm, aiming to ensure universal access to safely managed sanitation by promoting a range of solutions—both onsite and sewered, centralized or decentralized—considering the local context of the growing cities. The CWIS service framework includes a set of core service outcomes and the required system for sanitation service delivery.

Sessions Objectives 
The session will take stock of the lessons learnt from CWIS-related projects being implemented by Islamic Development Bank (IsDB), UN-Habitat, and their partner organizations.  The main objective of this session is to share the hands-on experiences and learnings on the preparation of bankable CWIS projects and the key success factors to translate the CWIS Approach into impactful actions on the ground. Mechanisms for increased collaboration between development banks and the UN (e.g., UN-Habitat) to support growth and maximize impacts of urban sanitation investments will be also discussed during this session.

Expected Results 
1. Lessons learnt from CWIS-related projects completed or being prepared by IsDB, UN-Habitat and their partner organizations shared among the participants.
2. Key success factors to translate the CWIS Approach into impactful actions on the ground discussed.
3. Mechanisms for increased collaboration between MDBs and UN agencies  (e.g., UN-Habitat) to support growth and maximize impacts of urban sanitation investments.";"Keynote speeches: 2 of 5 minutes each = 10 minutes
Presentations: 3 presentations of 15 minutes each = 45 minutes
Discussions =  30 minutes
Introduction and closing remarks = 5 minutes ";CWIS | SANITATION |  LESSONS LEARNT | IsDB | UN/HABITAT;ISLAMIC DEVELOPMENT BANK;90'
Special Session;SS48;Advancing Africa - EU water partnerships;Wednesday 23rd of March from 13.30 to 15.00;Wednesday 23rd of March from 13.30 to 15.00;Room 205;"Africa has undergone fundamental changes over the last decade, which has fueled increasing demand for water and interconnected sectors underpinning human development, food security, energy access, environmental wellbeing, and climate action.  Building on the vision of the EU-Africa partnership “Towards a Comprehensive Strategy with Africa” this special session serves as a follow-up to the European Union - African Union summit (17-18 February 2022). 

The EU-Africa vision stresses that coming partnerships will be based on mutual interest and green growth models building around five main areas: “green transition and energy access”, “digital transformation”, “sustainable growth and jobs”, “peace and governance”, and “migration and mobility”. 

Across all these partnerships, water plays a vital role for life, health, food, biodiversity, climate, societal resilience, economy and trade. However, water continues to be rated as one of the most important sectors for Africa’s growth but is still facing investment shortfalls and lacking political attention.

Drawing on this observation, the “African Union Agenda 2063: The Africa We Want”, water security constitutes one of the priorities sought by the agenda and has the potential to unlock greater progress in terms of direct human benefits, economic benefits, and environmental benefits. This position has been reaffirmed in 2021 with AMCOW’s Windhoek Multi-Stakeholder Resolutions calling to accelerate water security and access to safely managed sanitation and hygiene in Africa. 

The session will present the central role played by water in advancing strategic partnerships between the EU and Africa to tackle emerging challenges and dovetail common priorities and interests through water.
";"•	2-minutes: Welcome by Session Moderator, Introduction of Panelists (4 panelists) and Description/Goals of Panel and Discussions
•	5-minutes: Welcoming video speech by Commissioner Jutta Urpilainen – DG INTPA
•	5-minutes: Opening remarks by African Union 
•	10 minutes: Presentation of the responses given in the new programming to Africa water Challenges – link with current major EU-AU strategic discussions, Deputy Director-General. Marjeta Jager. DG INTPA
•	20-minutes (4x5 min): Presentations of key points by each panelist.
•	45-minutes: Panel discussion with questions from moderator.
•	5-minutes: Conclusion by the moderator
";African agenda | EU partnerships | Human development | Green Deal | Water security;European Commission (DG INTPA) / African Ministers' Council on Water (AMCOW);90'
Special Session;SS49;Voice of the River, Way of Peace;Wednesday 23rd of March from 13.30 to 15.00;Wednesday 23rd of March from 13.30 to 15.00;Auditorium;""" Context 
Within the framework of the 9th World Water Forum in Dakar in March 2022, OMVS and its partners present ""Voice of the River, Path to Peace"". Aiming at engaging a dialogue between the major development axes of the Senegal River basin, the societal dynamics and the local entrepreneurship related to water, this project will conceive innovative solutions by gathering local populations and their youth, artists, personalities, experts and the basin organization. It will thus reflect on the consultation of local populations, the creation of local jobs and the role that OMVS can play in strengthening peace in the basin with the establishment of a Blue Fund to support local entrepreneurship and employment. The internationally renowned artist Baaba Maal, sponsor of the project, will be involved in facilitating dialogue with local populations.  

The project has several components, including the Open Sahel Festival; the production of an album with Baaba Maal, Daara J Family, Noumoucounda, Fatoumata Diawara, Noura Mint Seymali, and Sékou Kouyaté; community exchanges; the development of a blue fund concept; and a contest to mobilize and engage youth. All of the activities and works produced under the project will be used to bring local people's advocacy to the 9th World Water Forum in Dakar so that local voices are better considered in decision-making bodies. 

Objectives 
- To present to the WWF the results of the dialogue carried out by the ""Voices from the River, Path to Peace"" project and the solutions created through the project.
- Interact with WEF participants to exchange and generate partnerships on the concept of a Blue Fund for employment and social entrepreneurship at OMVS and other solutions identified by the project

""";"Introductory remarks by Baaba Maal, sponsor of the initiative - 5 minutes
Intervention of a representative of the Executive Secretariat of the 9th World Water Forum - 5'.

- Introduction to the initiative by a representative of the Geneva Water Hub - 5'


- Presentation panel composed of :
Baaba Maal
Two young representatives of the basin
Representatives of the OMVS
An expert from the Pôle Eau Dakar
An expert from IPAR

o Part 1: Findings and reflections on the development of the river for jobs, the resilience of populations and the reinforcement of peace in the basin -20'.

o Part 2 : The role of OMVS for local development and the creation of a support fund for local entrepreneurship and employment in the basin -20'.

o Part 3: Exchanges with the participants - 20'.

- Concluding remarks by the OMVS High Commissioner -5' minutes";"advocacy of local | populations | peace building in the Senegal | River basin | youth engagement | blue fund for employment and entrepreneurship
";Geneva Water Hub;90'
Special Session;SS50;REALIZING HUMAN RIGHTS TO WATER AND SANITATION;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 201;"Having access to safe drinking water and sanitation is central to living a life in dignity and upholding human rights. Yet billions of people still do not enjoy these fundamental rights.
The rights to water and sanitation require that these are available, accessible, safe, acceptable and affordable for all without discrimination. These elements are clearly interrelated. While access to water may be guaranteed in theory, in reality, if it is too expensive, people do not have access. Having a tap which delivers unsafe water does not improve one’s access. Human rights demand a holistic understanding of access to water and sanitation.
The rights to water and sanitation further require an explicit focus on the most disadvantaged and marginalized, as well as an emphasis on participation, empowerment, accountability and transparency.
The promotion of human rights to drinking water and sanitation is one of the priorities of the Spanish cooperation policy. For several decades, work has been going on in two ways: the international recognition of water and sanitation as human rights, and the effective realization of these rights. The Cooperation Fund for Water and Sanitation for Latin America and the Caribbean is one of Spain's most ambitious instruments in this field, since it was established with the aim of making the human rights to water and sanitation (DHAS) effective, prioritizing the most fragile countries and the most vulnerable populations.
This session will address success stories in achieving the human rights to safe drinking water and sanitation.
This session will address success stories in achieving the human rights to safe drinking water and sanitation.";"Table Ronde: REALIZING HUMAN RIGHTS TO WATER AND SANITATION
-	Spanish Ministry of Foreing Affairs, European Union and Coopetarion (MAUEC): Pilar Cancela, Secretaria de Estado (Viceminister): wellcome and introduction 10´
-	United Nations Special Rapporteur on the human rights to safe drinking water and sanitation: Pedro Arrojo 15´

-	NGOs: ONGAWA, Mar Rivero 10´
-	World Bank: Gustavo Setiel, Global Lead for Water Supply and Sanitation, Water Global Practice: 10´
-	Sanitation and Water for All: Catarina de Albuquerque (tbc): 10´
-	Private sector CEO water company (tbc): 10´ 

Panel discussions (including public participation): 25´
 Moderators: AECID";"Human Rights | Water 
Sanitation | Vulnerable population | Fragile countries";"Agencia Española de Cooperación Internacional para el Desarrollo (AECID).
 Agence de coopération au développement of SPAIN";90'
Special Session;SS51;Portuguese language cooperation in water supply and sanitation - technical, social, environmental and regulatory perspectives;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Room 205;The Session intends to reflect on the role of international cooperation to the achievement of SDG6 taking into consideration concrete projects existing in Portuguese speaking countries. This session will address the technical, social, environmental, and regulatory perspectives of these countries, with a view to achieving the SDGs, in particular the SDG6.;"1st session
05 min – Introduction by moderator
12 min – The case of Angola
12 min – The case of Guinea-Bissau
12 min – The case of Sao Tome 

2nd session
05 min – Introduction by moderator
12 min – The case of Mozambique
12 min – The case of Cape Verde
12 min – The case of Brazil
05 min – Close of the session by moderator";WASH for All | Cooperation | Lusophony | Security;Ministry of Environment and Climate Action of Portugal;90'
Special Session;SS52;Concrete answers to water security;Thursday 24th of March from 10.45 to 12.15;Thursday 24th of March from 10.45 to 12.15;Room 205;"Achieving water security means ensuring a minimum water supply for human and economic needs. Being this as one of the main short-term objectives in the world, the impacts of climate change and the degradation of natural water sources make water security an insurmountable challenge in the medium and long term.
In this context, addressing the problems of water scarcity, pollution of water bodies, adverse effects of extreme hydrometeorological events, growing conflicts over water and environmental degradation of rivers and aquifers will address the challenges of achieving water security. 
In the face of such challenges, the promotion of unconventional resources, such as desalination and reuse, is essential to meet these challenges, not to mention the necessary improvements in regulatory and governance mechanisms, as well as properly designed water infrastructure, respecting environmental objectives and ensuring their maintenance. 
The session aims to present the main instruments for achieving water security, in terms of integrated water resources management, development and operation of environmentally compatible infrastructure, financial mechanisms and incentives. for sustainable water management, which will accelerate the path towards achieving SDG 6.
The first part is planned to make an exhibition of the world panorama, while in the second part will be exposed cases of concrete practices that can serve as inspiration to other territories. 

";"•	Presentations and keynote speech (30min): AECID, UnWater; UNESCO;DG Water Spain
•	Panel 1: Enablers needed for water security and the achievement of SDG 6 (25 min): Roundtable of concrete solutions: FAO, OCDE, ANA-Brasil
 
•	 Panel 2: investments needed for water security (25min): Roundtable of application cases: CAF, WB; Med Country; ICEX

•	Main conclusions (10min): DG Water Spain
";"Integrated water resources management | Non-conventional resources | Nature-based solutions | Concrete responses for management
";General Directorate of Water, Ministry of Ecological Transition and Demographic Challenge, Government of Spain;90'
